Date,MAW
2016-11-08 23:07:00,11767
2016-11-08 23:07:15,11974
2016-11-08 23:07:30,12184
2016-11-08 23:07:45,12303
2016-11-08 23:08:00,12400
2016-11-08 23:08:15,12367
2016-11-08 23:08:30,12351
2016-11-08 23:08:45,12362
2016-11-08 23:09:00,12427
2016-11-08 23:09:15,12268
2016-11-08 23:09:30,12258
2016-11-08 23:09:45,12463
2016-11-08 23:10:00,12506
2016-11-08 23:10:15,12505
2016-11-08 23:10:30,12526
2016-11-08 23:10:45,12556
2016-11-08 23:11:00,12610
2016-11-08 23:11:15,12674
2016-11-08 23:11:30,12691
2016-11-08 23:11:45,12572
2016-11-08 23:12:00,12416
2016-11-08 23:12:15,12484
2016-11-08 23:12:30,12291
2016-11-08 23:12:45,12533
2016-11-08 23:13:00,12470
2016-11-08 23:13:15,12378
2016-11-08 23:13:30,12351
2016-11-08 23:13:45,12201
2016-11-08 23:14:00,12189
2016-11-08 23:14:15,12017
2016-11-08 23:14:30,12170
2016-11-08 23:14:45,12176
2016-11-08 23:15:00,11710
2016-11-08 23:15:15,12047
2016-11-08 23:15:30,12000
2016-11-08 23:15:45,12008
2016-11-08 23:16:00,12186
2016-11-08 23:16:15,11810
2016-11-08 23:16:30,11502
2016-11-08 23:16:45,12522
2016-11-08 23:17:00,12610
2016-11-08 23:17:15,12632
2016-11-08 23:17:30,12769
2016-11-08 23:17:45,12795
2016-11-08 23:18:00,12747
2016-11-08 23:18:15,12765
2016-11-08 23:18:30,12806
2016-11-08 23:18:45,12812
2016-11-08 23:19:00,12733
2016-11-08 23:19:15,12654
2016-11-08 23:19:30,12660
2016-11-08 23:19:45,12593
2016-11-08 23:20:00,12423
2016-11-08 23:20:15,11910
2016-11-08 23:20:30,11660
2016-11-08 23:20:45,11577
2016-11-08 23:21:00,11202
2016-11-08 23:21:15,11045
2016-11-08 23:21:30,11143
2016-11-08 23:21:45,11244
2016-11-08 23:22:00,11172
2016-11-08 23:22:15,11138
2016-11-08 23:22:30,10986
2016-11-08 23:22:45,10568
2016-11-08 23:23:00,10150
2016-11-08 23:23:15,9929
2016-11-08 23:23:30,9769
2016-11-08 23:23:45,9660
2016-11-09 23:00:00,9626
2016-11-09 23:00:15,9535
2016-11-09 23:00:30,9438
2016-11-09 23:00:45,9354
2016-11-09 23:01:00,9274
2016-11-09 23:01:15,9223
2016-11-09 23:01:30,9199
2016-11-09 23:01:45,9181
2016-11-09 23:02:00,9173
2016-11-09 23:02:15,9166
2016-11-09 23:02:30,9197
2016-11-09 23:02:45,9237
2016-11-09 23:03:00,9268
2016-11-09 23:03:15,9264
2016-11-09 23:03:30,9284
2016-11-09 23:03:45,9310
2016-11-09 23:04:00,9506
2016-11-09 23:04:15,9557
